Timestamp,Date and Time,MAX,MIN,GUESS
1529712000,2018-06-23T00:00:00,114.401,18.5382,48.7719
1529798400,2018-06-24T00:00:00,116.291,18.8445,49.5777
1529884800,2018-06-25T00:00:00,116.023,18.8011,49.4636
1529971200,2018-06-26T00:00:00,115.09,18.6499,49.0658
1530057600,2018-06-27T00:00:00,111.565,18.0787,47.5628
1530144000,2018-06-28T00:00:00,110.217,17.8602,46.9882
1530230400,2018-06-29T00:00:00,109.346,17.8602,46.7323
1530316800,2018-06-30T00:00:00,106.562,17.541,45.6535
1530403200,2018-07-01T00:00:00,103.226,17.1378,44.3435
1530489600,2018-07-02T00:00:00,101.532,17.0025,43.5972
1530576000,2018-07-03T00:00:00,98.3921,16.6083,42.2391
1530662400,2018-07-04T00:00:00,99.7065,16.9536,42.7767
1530748800,2018-07-05T00:00:00,97.5985,16.7473,41.8547
1530835200,2018-07-06T00:00:00,99.3627,17.05,42.4642
1530921600,2018-07-07T00:00:00,101.692,17.4498,43.3231
1531008000,2018-07-08T00:00:00,103.641,17.7842,44.0148
1531094400,2018-07-09T00:00:00,103.124,17.6955,43.7951
1531180800,2018-07-10T00:00:00,106.538,18.2812,45.2447
1531267200,2018-07-11T00:00:00,106.641,18.2989,45.2886
1531353600,2018-07-12T00:00:00,107.055,18.3699,45.4644
1531440000,2018-07-13T00:00:00,105.296,18.0682,44.7176
1531526400,2018-07-14T00:00:00,102.917,17.66,43.7073
1531612800,2018-07-15T00:00:00,100.332,17.2163,42.6091
1531699200,2018-07-16T00:00:00,98.6766,16.9323,41.9063
1531785600,2018-07-17T00:00:00,99.1436,17.0124,42.1046
1531872000,2018-07-18T00:00:00,102.557,17.5981,43.5541
1531958400,2018-07-19T00:00:00,105.05,18.0259,44.6129
1532044800,2018-07-20T00:00:00,105.638,18.1268,44.8627
1532131200,2018-07-21T00:00:00,106.369,18.114,45.0506
1532217600,2018-07-22T00:00:00,111.859,18.8722,47.2191
1532304000,2018-07-23T00:00:00,117.002,19.587,49.2544
1532390400,2018-07-24T00:00:00,117.937,19.587,49.5094
1532476800,2018-07-25T00:00:00,119.278,19.6385,49.9205
1532563200,2018-07-26T00:00:00,119.65,19.5356,49.9307
1532649600,2018-07-27T00:00:00,121.931,19.7584,50.7498
1532736000,2018-07-28T00:00:00,122.777,19.8955,51.102
1532822400,2018-07-29T00:00:00,124.183,20.1234,51.6875
1532908800,2018-07-30T00:00:00,122.909,19.9168,51.1568
1532995200,2018-07-31T00:00:00,123.953,20.0861,51.5916
1533081600,2018-08-01T00:00:00,123.459,20.006,51.3859
1533168000,2018-08-02T00:00:00,124.598,20.1906,51.6317
1533254400,2018-08-03T00:00:00,127.105,20.5969,52.4275
1533340800,2018-08-04T00:00:00,133.153,21.577,54.6823
1533427200,2018-08-05T00:00:00,131.938,21.3801,53.9379
1533513600,2018-08-06T00:00:00,131.574,21.3211,53.5908
1533600000,2018-08-07T00:00:00,132.06,21.3998,53.5677
1533686400,2018-08-08T00:00:00,132.91,21.5376,53.6874
1533772800,2018-08-09T00:00:00,131.417,21.4589,53.2403
1533859200,2018-08-10T00:00:00,131.442,21.6557,53.4347
1533945600,2018-08-11T00:00:00,123.178,21.6773,52.6086
1534032000,2018-08-12T00:00:00,116.07,21.8045,52.0985
1534118400,2018-08-13T00:00:00,112.088,22.3969,52.7747
